tener suerte,to be lucky,0,0
tener vergüenza,to be embarrassed,0,0
mil,1,0,0
mil uno,1.001,0,0
mil diez,1.01,0,0
dos mil,2,0,0
treinta mil,30,0,0
cien mil,100,0,0
un millón,1.000.000,0,0
dos millones,2.000.000,0,0
cien millones,100.000.000,0,0
primer / primero,first,0,0
segundo,second,0,0
tercer / tercero,third,0,0
cuarto,fourth,0,0
quinto,fifth,0,0
sexto,sixth,0,0
séptimo,seventh,0,0
octavo,eight,0,0
noveno,ninth,0,0
decimo,tenth,0,0
hay,there is / there are,0,0
hay que + infinitivo,It's necessary to …,0,0
hay que limpiar el baño,It is necessary to clean the bathroom,0,0
Hay que sacar la basura?,Is it necessary to take out the trash?,0,0
a lado (de),beside,0,0
encima (de),on top (of),0,0
sobre,on/ on top(of)/ over / about,0,0
siempre,always,0,0
a menudo,often,0,0
a veces,sometimes,0,0
nunca,never,0,0
yo vengo,I come,0,0
tu vienes,you come,0,0
yo digo,I say,0,0
tu dices,you say,0,0
yo oigo,I hear,0,0
tu oyes,you hear,0,0
yo puedo,I am able to,0,0
tu puedes,you are able to,0,0
yo quiero,I want / I love,0,0
tu quieres,you want / you love,0,0
nosotros podemos,we are able to,0,0
yo conozco,I am acquainted with,0,0
yo doy,I give,0,0
yo hago,I make,0,0
yo pongo,I put / I place,0,0
yo salgo,I leave / I go out,0,0
yo traigo,I bring,0,0
yo veo,I see (with my eyes ),0,0
antiguo,old / antique,0,0
la calle,street,0,0
el campo,country (like out in the country),0,0
la ciudad,city,0,0
contemporáneo,contemporary,0,0
humilde,humble,0,0
moderno,modern,0,0
nuevo,new,0,0
tradicional,traditional,0,0
viejo,old,0,0
la administración de empresas,business administration,0,0
la arquitectura,architecture,0,0
el arte,art,0,0
la biología,biology,0,0
las ciencias,science(s),0,0
el derecho,law,0,0
los idiomas,languages,0,0
la informática,computer science,0,0
la literatura,literature,0,0
las matemáticas,mathematics,0,0
la medicina,medicine,0,0
la música,music,0,0
la pedagogía,education,0,0
el periodismo,journalism,0,0
la psicología,psychology,0,0
el curso,course,0,0
el semestre,semester,0,0
los apuntes,notes,0,0
el bolígrafo,pen,0,0
el borrador,eraser,0,0
el compañero de clase,classmate,0,0
la composición,composition,0,0
el cuaderno,notebook,0,0
el escritorio,desk,0,0
el estudiante,student,0,0
el examen,exam,0,0
el lápiz,pencil,0,0
el libro,book,0,0
el mapa,map,0,0
la mochila,book bag,0,0
el papel,paper,0,0
la pared,wall,0,0
la pizarra (interactiva),chalkboard/ (interactive) whiteboard,0,0
el profesor,professor,0,0
la puerta,door,0,0
la sala de clase,classroom,0,0
la silla,chair,0,0
la tarea,homework,0,0
la tiza,chalk,0,0
la ventana,window,0,0
abrir,to open,0,0
aprender,to learn,0,0
comer,to eat,0,0
comprar,to buy,0,0
comprender,to learn,0,0
contestar,to answer,0,0
correr,to run,0,0
creer,to believe,0,0
ensenar,to teach / to show,0,0
escribir,to write,0,0
esperar,to wait for / to hope,0,0
estar,to be (not ser),0,0
estudiar,to study,0,0
hablar,to speak,0,0
leer,to read,0,0
llegar,to arrive,0,0
mirar,to look at / to watch,0,0
necesitar,to need,0,0
preguntar,to ask ( a question),0,0
preparar,to prepare / to get ready,0,0
recibir,to receive,0,0
regresar,to return,0,0
terminar,to finish / to end,0,0
tomar,to take / to drink,0,0
trabajar,to work,0,0
usar,to use,0,0
vivir,to live,0,0
el apartamento,apartment,0,0
la biblioteca,library,0,0
la cafetería,cafeteria,0,0
el centro estudiantil,student center,0,0
el cuarto ,room,0,0
el edificio,building,0,0
el estadio,stadium,0,0
el gimnasio,gymnasium,0,0
el laboratorio,laboratory,0,0
la librería,bookstore,0,0
la residencia estudiantil,dormitory (the building),0,0
la tienda,store,0,0
la calculadora,calculator,0,0
al compañero de cuarto,roommate,0,0
el despertador,alarm clock,0,0
el DVD,DVD,0,0
el horario (de clases),schedule (of classes),0,0
el radio / la radio,radio the object / radio what you listen to,0,0
el reloj,clock / watch,0,0
la tableta,tablet,0,0
el teléfono celular,cell phone,0,0
la televisión,television,0,0
bailar,to dance,0,0
caminar,to walk,0,0
el equipo,team,0,0
escuchar música,listen to music,0,0
ir de compras,to go shopping,0,0
jugar al basquetbol,to play basketball,0,0
jugar al beisbol,to play baseball,0,0
jugar al futbol,to play soccer,0,0
jugar al futbol americano,to play football,0,0
jugar al tenis,to play tennis,0,0
montar en bicicleta,to ride a bike,0,0
nadar,to swim,0,0
patinar,to skate,0,0
la pelota,ball,0,0
tocar un instrumento,to play an instrument,0,0
tomar el sol,to sunbathe,0,0
ver la televisión,to watch television,0,0
aburrido,boring,0,0
cansado,tired,0,0
contento,content/happy,0,0
enfermo,ill/sick,0,0
enojado,angry,0,0
feliz,happy,0,0
nervioso,upset/nervous,0,0
preocupado,worried,0,0
triste ,sad,0,0
yo estoy,I am (not ser),0,0
tu estas,You are (not ser),0,0
Ud. Esta,You are (not ser form),0,0
cien,100,0,0
ciento uno,101,0,0
ciento dos,102,0,0
ciento dieciséis,116,0,0
ciento veinte,120,0,0
doscientos,200,0,0
doscientos uno,201,0,0
trescientos,300,0,0
cuatrocientos,400,0,0
quinientos,500,0,0
seiscientos,600,0,0
setecientos,700,0,0
ochocientos,800,0,0
novecientos,900,0,0
difícil,difficult,0,0
fácil,easy,0,0
De dónde,from where,0,0
Cuánto,how much,0,0
Cuántos,how many,0,0
Cuál,Which (one),0,0
Cuáles,Which (ones),0,0
Quién,Who,0,0
Quiénes,Who (Pl.),0,0
De dónde regresa Antonio,where is Antonio coming back from,0,0
Cuánto estudia Antonio para la clase,How much does Antonio study for class,0,0
Cuánta tiza hay,How much chalk is there,0,0
Cuántos idiomas habla Antonio,How many languages does Antonio speak,0,0
Cuántas compañeras llegan tarde,How many classmates arrive late,0,0
Cuál es su clase favorita,Which is his favorite class,0,0
Quién habla cinco idiomas,Who speaks five languages,0,0
Quiénes hablan cinco idiomas,Who (Pl.) speaks five languages,0,0
Qué,What,0,0
Por qué,Why,0,0
Cómo,How,0,0
Cuándo,When,0,0
Adónde,To where,0,0
Dónde,Where,0,0
pero,but,0,0
también,too / also,0,0
y ,and,0,0
el abuelo,grandfather,0,0
los abuelos,grandparents,0,0
el esposo,husband,0,0
el hermano,brother,0,0
el hijo,son,0,0
la madrastra,stepmother,0,0
la madre / la mama,mother,0,0
el nieto,grandson,0,0
el padrastro,stepfather,0,0
el padre / el papa,father,0,0
la primo,cousin,0,0
el sobrino,nephew,0,0
el tío,uncle,0,0
el amigo,friend,0,0
el chico,boy,0,0
el hombre,man,0,0
el joven,young man,0,0
el muchacho,boy,0,0
la mujer,woman,0,0
el niño,little boy,0,0
el novio,boyfriend,0,0
el señor,sir,0,0
la señora,misses,0,0
la señorita,miss ,0,0
antipático,unpleasant,0,0
bueno,good,0,0
cómico,funny / comical,0,0
inteligente,intelligent,0,0
interesante,interesting,0,0
malo,bad,0,0
paciente,patient,0,0
perezoso,lazy,0,0
pobre,poor,0,0
responsable,responsible,0,0
rico,rich,0,0
simpático,nice,0,0
amable,kind,0,0
tonto,silly / dumb,0,0
trabajador,hard working,0,0
muy,very,0,0
(un) poco,(a) little,0,0
alto,tall,0,0
bajo,short,0,0
bonita,pretty,0,0
débil,weak,0,0
delgado,thin,0,0
feo,ugly,0,0
fuerte,strong,0,0
gordo,fat,0,0
grande,big / large,0,0
guapo,handsome,0,0
joven,young,0,0
mayor,old (person ),0,0
pequeño,small,0,0
treinta,thirty,0,0
cuarenta,forty,0,0
cincuenta,fifty,0,0
sesenta,sixty,0,0
setenta,seventy,0,0
ochenta,eighty,0,0
noventa,ninety,0,0
cien,one hundred,0,0
tener,to have,0,0
yo tengo,I have,0,0
tu tienes,you have,0,0
Ud. Tiene,you have (form),0,0
mas,plus,0,0
menos,minus,0,0
son,equals,0,0
por,times,0,0
dividió por,divided by,0,0
mi / mis,my,0,0
tu / tus,your,0,0
su / sus,your ( form ),0,0
su / sus,his / her / its,0,0
nuestro /a/os/as,our,0,0
vuestro /a/os/as,your (Pl.) (spain),0,0
su / sus,your (Pl.),0,0
su / sus,their,0,0
el,the (s. masc.),0,0
